ProductID,ProductName,Category,UnitPrice,YearIntroduced,SupplierRegion
2000,Electronics-Be,Electronics,969.31,2022,Midwest
2001,Electronics-Be,Clothing,412.3125,2015,Midwest
2002,Office-Family,Clothing,866,2000,Midwest
2003,Electronics-Training,Clothing,385.18,2009,Midwest
2004,Office-Where,Home,927.20025,2010,Midwest
2005,Office-Huge,Home,428.78,2001,Midwest
2006,Office-Class,Clothing,198,2014,Midwest
2007,Clothing-Over,Electronics,583.39,2022,Midwest
2008,Electronics-Skin,Home,66.59,2023,Midwest
2009,Office-Raise,Clothing,66.31,2022,Midwest
2010,Electronics-Themselves,Clothing,77.84,2001,Midwest
2011,Electronics-Religious,Clothing,409.7425,2005,Midwest
2012,Clothing-Artist,Electronics,623.1009,2004,Midwest
2013,Office-Cultural,Home,935.3416,2009,Midwest
2014,Clothing-Eat,Home,246.31201,2003,Midwest
2015,Office-Itself,Clothing,674.97,2007,Midwest
2016,Home-He,Office,323.02,2008,Southeast
2017,Electronics-Feeling,Electronics,463.7,2000,Southeast
2018,Electronics-Nature,Electronics,542.26,2004,Southeast
2019,Home-History,Clothing,933.93,2014,Southeast
2020,Electronics-Share,Clothing,375.83,2015,Southeast
2021,Clothing-Skill,Office,835.41,2012,Southeast
2022,Home-Economy,Electronics,671.18,2000,Southeast
2023,Home-Yeah,Electronics,939.54,2007,Southeast
2024,Clothing-Paper,Home,124.27,2004,Southeast
2025,Electronics-Assume,Clothing,279.62,2005,Southeast
2026,Clothing-Use,Home,211.56,2004,Southeast
2027,Home-Purpose,Office,258.61,2015,Southeast
2028,Electronics-Take,Electronics,637.94,2018,Southeast
2029,Home-Yourself,Electronics,13.51,2017,Southeast
2030,Clothing-First,Home,169.97,2022,Northeast
2031,Office-Develop,Office,565.3,2015,Northeast
2032,Electronics-There,Electronics,945.6,2000,Northeast
2033,Clothing-Argue,Electronics,836.25,2009,Northeast
2034,Clothing-Feel,Office,136.17,2010,Northeast
2035,Home-According,Home,899.99,2001,Northeast
2036,Electronics-Candidate,Home,217.98,2014,Northeast
2037,Clothing-Meeting,Electronics,360.14,2022,Northeast
2038,Office-Soon,Clothing,926.51,2023,Northeast
2039,Clothing-Need,Clothing,976.44,2022,Northeast
2040,Clothing-Determine,Office,34.54,2001,Northeast
2041,Home-Assume,Office,804.21,2005,Northeast
2042,Clothing-Lawyer,Home,167.61,2004,Northeast
2043,Electronics-Practice,Office,873.45,2009,Northeast
2044,Office-Society,Clothing,207.58,2003,Northeast
2045,Office-Next,Home,312.14,2007,Northeast
2046,Clothing-Worry,Clothing,33.43,2008,Northeast
2047,Clothing-Hair,Office,334.98,2000,Northeast
2048,Electronics-Candidate,Home,357.63,2004,Northeast
2049,Office-Easy,Home,939.84,2014,Northeast
2050,Electronics-Young,Home,186.78,2015,Northeast
2051,Home-Century,Electronics,117.32,2012,Northeast
2052,Office-Year,Home,731.26,2000,Southwest
2053,Home-Ground,Office,610.15,2007,Southwest
2054,Electronics-Above,Office,900.51,2004,Southwest
2055,Clothing-Politics,Home,53.94,2005,Southwest
2056,Office-About,Electronics,524.72,2004,Southwest
2057,Clothing-Identify,Home,436.98,2015,Southwest
2058,Home-Wear,Home,666.75,2018,Southwest
2059,Electronics-Clear,Home,512.05,2017,Southwest
2060,Office-Term,Home,408.38,2022,Southwest
2061,Home-Quite,Clothing,199.92,2015,Southwest
2062,Office-Receive,Clothing,619.36,2000,Southwest
2063,Home-Good,Office,552.46,2009,Southwest
2064,Electronics-Stop,Home,294.04,2010,Southeast
2065,Office-Animal,Home,470.34,2001,Midwest
2066,Office-Occur,Clothing,516.06,2014,Northeast
2067,Clothing-Remain,Electronics,290.95,2022,Southwest
2068,Home-Read,Electronics,820.24,2023,Southwest
2069,Clothing-Garden,Home,232.39,2022,Southeast
2070,Clothing-About,Clothing,34.18,2001,Midwest
2071,Clothing-Success,Office,615.16,2005,Northeast
2072,Electronics-Become,Office,420.3,2004,Southwest
2073,Clothing-Executive,Office,499.43,2009,Southwest
2074,Clothing-Strong,Clothing,659.5,2003,Southeast
2075,Electronics-Letter,Electronics,780.64,2007,Midwest
2076,Clothing-Affect,Clothing,806.07,2008,Northeast
2077,Office-Ball,Electronics,561.83,2000,Southwest
2078,Electronics-Film,Office,142.01,2004,Southwest
2079,Office-Who,Home,950.54,2014,Southeast
2080,Office-Doctor,Office,832.26,2015,Midwest
2081,Office-Light,Clothing,746.22,2012,Northeast
2082,Office-Figure,Office,266.6,2000,Southwest
2083,Clothing-Cut,Home,768.16,2007,Southwest
2084,Office-Stuff,Clothing,281.85,2004,Southeast
2085,Electronics-Officer,Home,242.15,2005,Midwest
2086,Home-Of,Home,894.1,2004,Northeast
2087,Electronics-Rather,Clothing,159.32,2015,Southwest
2088,Office-Evening,Clothing,709.35,2018,Southwest
2089,Electronics-Action,Office,413.52,2017,Southeast
2090,Office-Staff,Office,71.64,2022,Midwest
2091,Office-Mrs,Office,905.79,2015,Northeast
2092,Electronics-Add,Office,482.21,2000,Southwest
2093,Home-Real,Home,755.94,2009,Southwest
2094,Office-Fight,Clothing,493.35,2010,Southeast
2095,Home-Seem,Office,490.79,2001,Midwest
2096,Office-Discuss,Home,672.18,2014,Northeast
2097,Office-Recent,Clothing,842.1,2022,Southwest
2098,Clothing-Trouble,Electronics,907.86,2023,Southwest
2099,Electronics-Several,Electronics,646.32,2022,Southeast
2100,,Office,905.79,2009,Northeast
,,home,,2010,Southwest
2102,Office-Fight,clothing,755.94,2001,NORTHeast
2103,Home-Seem,,,2014,Southwest
,Office-Discuss,,490.79,2022,NORTHEAST
2105,Office-Recent,Clothing,,2023,Southwest
,,Electronics,842.1,2025,Northeast
2089,Electronics-Action,office,413.52,2017,Southeast
2090,Office-Staff,OFFICE,71.64,2022,midwest
2091,Office-Mrs,OFFICE,905.79,2015,northeast
2092,Electronics-Add,office,482.21,2000,SOUTHWEST
2093,Home-Real,HOME,-1,2009,Southwest
2094,Clothing-Need,Clothing,-12,2022,Northeast
2095,Clothing-Determine,Office,10,2001,Northeast
2096,Home-Assume,Office,-5,2005,Northeast
2097,Clothing-Lawyer,Home,0,2004,Northeast
2098,Electronics-Practice,Office,1,2009,Northeast
2099,Office-Society,Clothing,2,2003,Northeast
2100,Office-Next,Home,10,2007,Northeast
